"id_cliente";"cpf_cliente";"nome_cliente";"email_cliente";"telefone_cliente"
1;"301.845.972-50";"Ana Laura Casa Grande";"0800 604 1346";"portoliam@example.com"
2;"452.807.361-71";"Apollo Peixoto";"+55 84 0074 9580";"isabellynovais@example.com"
3;"976.380.514-75";"Luna Nascimento";"21 2893-8250";"biancacarvalho@example.net"
4;"610.239.785-12";"Erick Aparecida";"(051) 3292-5179";"montenegrolaura@example.org"
5;"456.819.207-20";"João Felipe Farias";"0800 503 0354";"joao-gabriel61@example.net"
6;"761.592.308-59";"Davi Lucas Correia";"21 2375 5249";"calebcirino@example.org"
7;"780.235.941-41";"Eduardo Borges";"0800-942-3010";"stephanycassiano@example.org"
8;"519.304.876-57";"Srta. Pietra Aparecida";"+55 (071) 6452 4698";"ucostela@example.com"
9;"817.530.269-03";"Ana Julia Mendes";"(071) 2345 6609";"brayanrezende@example.org"
10;"059.713.642-43";"Ana Sophia Pastor";"(071) 0476 1892";"dvasconcelos@example.net"
11;"076.492.183-50";"Vitor Hugo Rodrigues";"21 5647 9252";"fogacamanuela@example.net"
12;"517.296.804-02";"Agatha Novais";"61 7047-8808";"henryguerra@example.net"
13;"751.648.329-09";"Clara Almeida";"21 2648 2000";"daniela53@example.com"
14;"361.408.729-87";"Nicolas das Neves";"+55 (011) 3033-0552";"jmoraes@example.net"
15;"512.937.680-30";"Mariana Rodrigues";"(031) 2685 4809";"piresmatteo@example.net"
16;"079.516.832-21";"Milena Barros";"21 0198 2402";"ana-beatriz58@example.com"
17;"069.534.287-83";"Isaac Marques";"0900-506-6777";"sarodrigo@example.org"
18;"801.752.964-30";"Isaac Oliveira";"81 9749-5683";"ocunha@example.net"
19;"238.509.416-98";"Sophie Aparecida";"0300 799 5157";"joao-vitorfogaca@example.com"
20;"870.154.932-41";"Ana Júlia Novaes";"0800-370-8438";"anagomes@example.net"
21;"067.812.459-02";"Pedro Miguel da Conceição";"(041) 0630 3645";"agatha12@example.org"
22;"162.384.590-42";"Mariane Jesus";"+55 (084) 3211-7797";"rcostela@example.net"
23;"568.174.092-76";"Ana Júlia Souza";"(084) 7996 5957";"brenda16@example.net"
