"codigo_funcionario";"email_funcionario";"codigo_beneficio";"codigo_empresa";"tipo_beneficio";"valor_beneficio"
0;"";2;4;"2";"835"
1;"portoliam@example.com";1;4;"1";"566"
2;"isabellynovais@example.com";1;5;"1";"694"
3;"biancacarvalho@example.net";2;8;"2";"955"
4;"montenegrolaura@example.org";1;7;"1";"775"
5;"joao-gabriel61@example.net";2;1;"2";"521"
6;"calebcirino@example.org";2;3;"2";"905"
7;"stephanycassiano@example.org";2;7;"2";"641"
8;"ucostela@example.com";2;4;"2";"546"
9;"brayanrezende@example.org";2;2;"2";"548"
10;"dvasconcelos@example.net";2;7;"2";"939"
11;"fogacamanuela@example.net";1;6;"1";"507"
12;"henryguerra@example.net";2;4;"2";"608"
13;"daniela53@example.com";1;5;"1";"766"
14;"jmoraes@example.net";2;8;"2";"900"
15;"piresmatteo@example.net";2;2;"2";"547"
16;"ana-beatriz58@example.com";2;8;"2";"769"
17;"sarodrigo@example.org";1;1;"1";"548"
18;"ocunha@example.net";2;2;"2";"1025"
19;"joao-vitorfogaca@example.com";2;2;"2";"943"
20;"anagomes@example.net";1;5;"1";"650"
21;"agatha12@example.org";2;7;"2";"992"
22;"rcostela@example.net";1;7;"1";"949"
23;"brenda16@example.net";2;6;"2";"1013"
24;"da-costaisabelly@example.org";1;5;"1";"556"
25;"svargas@example.org";1;1;"1";"958"
26;"vinicius77@example.org";1;1;"1";"1012"
27;"nmacedo@example.com";2;7;"2";"930"
28;"jmonteiro@example.net";1;7;"1";"1005"
29;"ayla18@example.org";1;7;"1";"618"
30;"leandro16@example.net";2;2;"2";"647"
31;"aaragao@example.com";2;5;"2";"620"
32;"sagabriel@example.com";1;8;"1";"830"
33;"vieiratheodoro@example.com";2;4;"2";"991"
34;"jaderodrigues@example.org";1;1;"1";"541"
35;"fariasluisa@example.net";2;3;"2";"935"
36;"carlos-eduardorios@example.org";1;5;"1";"990"
37;"naparecida@example.org";1;5;"1";"517"
38;"sampaiocamila@example.net";1;3;"1";"842"
39;"fonsecaemanuella@example.com";1;5;"1";"508"
40;"brunapires@example.net";2;2;"2";"918"
41;"maria-luizacosta@example.net";2;3;"2";"1020"
42;"fernandocastro@example.net";2;1;"2";"729"
43;"dommachado@example.org";2;6;"2";"605"
44;"ericknovaes@example.net";2;3;"2";"969"
45;"manuela96@example.org";1;6;"1";"904"
46;"anacampos@example.org";1;5;"1";"947"
47;"tcorreia@example.org";1;3;"1";"790"
48;"rebecalopes@example.com";1;2;"1";"502"
49;"luiz-otaviovargas@example.net";1;8;"1";"983"
50;"maria-ceciliacorreia@example.com";1;7;"1";"580"
51;"paulovasconcelos@example.com";2;3;"2";"1046"
52;"kcirino@example.net";1;5;"1";"1011"
53;"vda-mata@example.org";1;3;"1";"519"
54;"pedro-lucas04@example.org";1;4;"1";"550"
55;"emanuelly52@example.org";2;4;"2";"562"
56;"borgesbianca@example.org";2;7;"2";"533"
57;"correialaura@example.net";1;1;"1";"704"
58;"lunamoraes@example.com";1;3;"1";"1015"
59;"sabrina17@example.com";1;7;"1";"819"
60;"theo64@example.net";1;1;"1";"701"
61;"benjaminpimenta@example.com";1;2;"1";"1026"
62;"fariasenzo@example.net";1;7;"1";"689"
63;"yagoda-costa@example.org";2;7;"2";"620"
64;"fernando80@example.net";1;5;"1";"572"
65;"ana-lauraaparecida@example.net";2;7;"2";"763"
66;"araujomaria@example.org";1;6;"1";"590"
67;"natalia05@example.net";2;6;"2";"515"
68;"maria-vitoria75@example.com";1;7;"1";"670"
69;"maria-luiza75@example.com";2;3;"2";"1040"
70;"gabrielnovais@example.org";1;1;"1";"894"
71;"rezendeotto@example.net";2;2;"2";"830"
72;"framos@example.org";1;7;"1";"724"
73;"rmendes@example.org";1;4;"1";"836"
74;"ebarbosa@example.org";1;8;"1";"721"
75;"osouza@example.org";1;4;"1";"721"
76;"ana-livia20@example.com";2;7;"2";"714"
77;"isaqueda-luz@example.com";2;6;"2";"560"
78;"kfernandes@example.net";2;4;"2";"554"
79;"ffogaca@example.org";1;4;"1";"815"
80;"ana-sophiacavalcanti@example.net";1;7;"1";"544"
81;"stellabarros@example.org";2;1;"2";"941"
82;"cunhaana-cecilia@example.net";2;6;"2";"563"
83;"caroline38@example.net";1;1;"1";"972"
84;"lalves@example.org";1;3;"1";"595"
85;"pedro-henriqueda-mota@example.net";1;4;"1";"1005"
86;"josue00@example.net";1;7;"1";"766"
87;"daniel37@example.net";2;5;"2";"979"
88;"apolloda-cruz@example.org";2;8;"2";"861"
89;"pastormaria-sophia@example.com";2;1;"2";"1027"
90;"icaldeira@example.net";1;3;"1";"901"
91;"bruna04@example.net";2;8;"2";"928"
92;"vitor-gabrielborges@example.org";1;1;"1";"587"
93;"vieirafrancisco@example.org";2;1;"2";"914"
94;"caio47@example.net";2;8;"2";"647"
95;"mathias73@example.org";1;2;"1";"573"
96;"theo96@example.com";1;6;"1";"971"
97;"alicia34@example.org";1;4;"1";"994"
98;"aparecidamariane@example.org";2;3;"2";"699"
99;"rafaelapires@example.org";2;2;"2";"628"
100;"claradias@example.net";1;3;"1";"845"
101;"";1;6;"1";"645"
102;"";2;1;"2";"1008"
103;"";2;2;"2";"550"
104;"";1;2;"1";"836"
105;"";2;6;"2";"531"
106;"";1;5;"1";"945"
107;"";2;5;"2";"750"
108;"";1;4;"1";"792"
109;"";1;6;"1";"750"
110;"";1;1;"1";"777"
111;"";2;6;"2";"964"
112;"";1;5;"1";"684"
113;"";2;7;"2";"870"
114;"";2;7;"2";"973"
115;"";1;2;"1";"913"
116;"";2;7;"2";"934"
117;"";2;4;"2";"639"
118;"";1;6;"1";"994"
119;"";1;4;"1";"887"
120;"";1;6;"1";"821"
121;"";2;1;"2";"915"
122;"";2;3;"2";"871"
123;"";1;4;"1";"632"
124;"";2;5;"2";"607"
125;"";2;1;"2";"764"
126;"";1;1;"1";"646"
127;"";1;1;"1";"769"
128;"";2;2;"2";"762"
129;"";2;7;"2";"780"
130;"";2;8;"2";"1009"
131;"";2;6;"2";"1039"
132;"";2;5;"2";"680"
133;"";1;4;"1";"558"
134;"";1;1;"1";"868"
135;"";1;1;"1";"831"
136;"";2;8;"2";"1045"
137;"";1;1;"1";"743"
138;"";1;3;"1";"650"
139;"";2;8;"2";"997"
140;"";2;3;"2";"674"
141;"";2;6;"2";"768"
142;"";1;2;"1";"518"
143;"";1;6;"1";"599"
144;"";1;1;"1";"956"
145;"";1;3;"1";"588"
146;"";2;6;"2";"960"
147;"";2;5;"2";"774"
148;"";2;3;"2";"524"
149;"";1;1;"1";"966"
150;"";2;7;"2";"668"
151;"";2;6;"2";"808"
152;"";2;5;"2";"605"
153;"";2;4;"2";"856"
154;"";1;1;"1";"506"
155;"";2;2;"2";"785"
156;"";2;3;"2";"625"
157;"";2;5;"2";"976"
158;"";2;2;"2";"649"
159;"";1;4;"1";"973"
160;"";1;6;"1";"778"
161;"";1;7;"1";"964"
162;"";1;8;"1";"714"
163;"";1;8;"1";"847"
164;"";1;1;"1";"861"
165;"";1;6;"1";"534"
166;"";1;6;"1";"741"
167;"";1;8;"1";"654"
168;"";2;3;"2";"593"
169;"";2;6;"2";"843"
170;"";1;4;"1";"549"
171;"";1;1;"1";"573"
172;"";1;8;"1";"797"
173;"";2;1;"2";"652"
174;"";2;4;"2";"906"
175;"";1;2;"1";"808"
176;"";1;6;"1";"673"
177;"";2;3;"2";"784"
178;"";2;4;"2";"1038"
179;"";1;5;"1";"985"
180;"";2;5;"2";"786"
181;"";1;3;"1";"632"
182;"";1;4;"1";"938"
183;"";1;7;"1";"552"
184;"";1;5;"1";"576"
185;"";2;7;"2";"567"
186;"";1;4;"1";"1011"
187;"";1;5;"1";"794"
188;"";1;5;"1";"847"
189;"";2;8;"2";"900"
190;"";2;1;"2";"523"
191;"";2;6;"2";"976"
192;"";1;5;"1";"861"
193;"";2;4;"2";"519"
194;"";1;1;"1";"554"
195;"";1;2;"1";"647"
196;"";2;3;"2";"894"
197;"";2;2;"2";"803"
198;"";1;4;"1";"999"
199;"";2;8;"2";"791"
200;"";1;4;"1";"531"
201;"";2;6;"2";"531"
202;"";2;5;"2";"645"
203;"";2;7;"2";"783"
204;"";2;3;"2";"746"
205;"";1;4;"1";"857"
206;"";1;1;"1";"527"
207;"";2;7;"2";"769"
208;"";2;1;"2";"856"
209;"";1;6;"1";"881"
210;"";1;4;"1";"843"
211;"";1;3;"1";"752"
212;"";2;1;"2";"945"
213;"";2;1;"2";"1047"
214;"";2;7;"2";"777"
215;"";2;2;"2";"1010"
216;"";2;5;"2";"799"
217;"";1;6;"1";"734"
218;"";2;4;"2";"721"
219;"";2;8;"2";"908"
220;"";2;1;"2";"853"
221;"";2;8;"2";"619"
222;"";2;4;"2";"864"
223;"";1;8;"1";"949"
224;"";2;2;"2";"669"
225;"";1;7;"1";"690"
226;"";1;6;"1";"753"
227;"";2;7;"2";"926"
228;"";2;2;"2";"1030"
229;"";2;3;"2";"705"
230;"";2;8;"2";"668"
231;"";1;2;"1";"1041"
232;"";1;4;"1";"600"
233;"";1;8;"1";"770"
234;"";2;1;"2";"987"
235;"";1;7;"1";"737"
236;"";1;8;"1";"759"
237;"";2;4;"2";"1018"
238;"";1;4;"1";"835"
239;"";1;4;"1";"745"
240;"";1;1;"1";"783"
241;"";1;6;"1";"557"
242;"";2;5;"2";"615"
243;"";2;7;"2";"576"
244;"";2;1;"2";"545"
245;"";1;1;"1";"788"
246;"";1;8;"1";"514"
247;"";1;2;"1";"759"
248;"";1;6;"1";"928"
249;"";2;4;"2";"607"
250;"";2;5;"2";"863"
251;"";2;4;"2";"690"
252;"";2;7;"2";"619"
253;"";1;5;"1";"541"
254;"";1;3;"1";"746"
255;"";1;7;"1";"535"
256;"";2;4;"2";"504"
257;"";1;4;"1";"773"
258;"";1;1;"1";"742"
259;"";1;6;"1";"980"
260;"";1;7;"1";"563"
261;"";1;4;"1";"675"
262;"";1;7;"1";"686"
263;"";1;4;"1";"728"
264;"";1;1;"1";"787"
265;"";1;2;"1";"759"
266;"";1;3;"1";"710"
267;"";2;5;"2";"574"
268;"";1;3;"1";"1013"
269;"";1;5;"1";"798"
270;"";2;4;"2";"958"
271;"";2;4;"2";"583"
272;"";1;6;"1";"752"
273;"";1;7;"1";"918"
274;"";2;2;"2";"984"
275;"";1;1;"1";"657"
276;"";1;1;"1";"962"
277;"";2;8;"2";"1041"
278;"";1;7;"1";"905"
279;"";1;1;"1";"832"
280;"";1;6;"1";"534"
281;"";2;2;"2";"759"
282;"";1;3;"1";"690"
283;"";1;7;"1";"1036"
284;"";2;4;"2";"634"
285;"";2;3;"2";"593"
286;"";1;5;"1";"501"
287;"";2;4;"2";"579"
288;"";1;6;"1";"709"
289;"";1;2;"1";"571"
290;"";1;4;"1";"692"
291;"";2;3;"2";"1050"
292;"";1;6;"1";"942"
293;"";1;5;"1";"694"
294;"";1;4;"1";"672"
295;"";2;7;"2";"539"
296;"";2;3;"2";"841"
297;"";1;3;"1";"959"
298;"";1;5;"1";"1034"
299;"";1;3;"1";"804"
300;"";2;5;"2";"783"
301;"";2;8;"2";"721"
302;"";2;3;"2";"769"
303;"";1;7;"1";"868"
304;"";2;2;"2";"977"
305;"";2;6;"2";"502"
306;"";2;2;"2";"729"
307;"";2;4;"2";"517"
308;"";2;3;"2";"667"
309;"";1;2;"1";"777"
310;"";1;7;"1";"601"
311;"";1;5;"1";"764"
312;"";2;1;"2";"1011"
313;"";1;6;"1";"769"
314;"";2;2;"2";"760"
315;"";1;7;"1";"827"
316;"";2;5;"2";"673"
317;"";1;2;"1";"810"
318;"";1;1;"1";"906"
319;"";2;4;"2";"583"
320;"";2;1;"2";"1000"
321;"";2;7;"2";"573"
322;"";1;3;"1";"657"
323;"";2;1;"2";"649"
324;"";1;3;"1";"711"
325;"";2;4;"2";"587"
326;"";2;5;"2";"797"
327;"";2;8;"2";"596"
328;"";1;7;"1";"747"
329;"";2;5;"2";"740"
330;"";2;3;"2";"748"
331;"";2;1;"2";"819"
332;"";1;4;"1";"914"
333;"";1;4;"1";"566"
334;"";2;7;"2";"840"
335;"";2;2;"2";"881"
336;"";1;8;"1";"857"
337;"";2;5;"2";"848"
338;"";1;4;"1";"796"
339;"";2;7;"2";"888"
340;"";1;2;"1";"801"
341;"";1;6;"1";"798"
342;"";1;6;"1";"809"
343;"";2;8;"2";"984"
344;"";1;8;"1";"1048"
345;"";1;4;"1";"754"
346;"";2;5;"2";"682"
347;"";1;3;"1";"801"
348;"";2;1;"2";"595"
349;"";1;3;"1";"924"
350;"";2;7;"2";"626"
351;"";1;8;"1";"641"
352;"";1;2;"1";"599"
353;"";2;7;"2";"642"
354;"";1;1;"1";"694"
355;"";1;8;"1";"665"
356;"";1;1;"1";"812"
357;"";2;3;"2";"553"
358;"";2;2;"2";"844"
359;"";1;7;"1";"596"
360;"";1;4;"1";"737"
361;"";2;8;"2";"990"
362;"";1;7;"1";"635"
363;"";2;7;"2";"831"
364;"";1;3;"1";"934"
365;"";1;5;"1";"905"
366;"";1;3;"1";"806"
367;"";2;2;"2";"546"
368;"";1;2;"1";"983"
369;"";1;8;"1";"579"
370;"";1;1;"1";"508"
371;"";2;2;"2";"581"
372;"";1;5;"1";"749"
373;"";1;4;"1";"689"
374;"";2;5;"2";"520"
375;"";2;8;"2";"1037"
376;"";1;4;"1";"520"
377;"";2;2;"2";"907"
378;"";2;8;"2";"623"
379;"";2;7;"2";"613"
380;"";1;4;"1";"520"
381;"";2;4;"2";"837"
382;"";1;5;"1";"745"
383;"";2;1;"2";"903"
384;"";1;7;"1";"958"
385;"";2;1;"2";"827"
386;"";2;8;"2";"561"
387;"";1;4;"1";"915"
388;"";2;7;"2";"997"
389;"";1;6;"1";"510"
390;"";2;3;"2";"996"
391;"";1;5;"1";"845"
392;"";1;7;"1";"742"
393;"";2;8;"2";"912"
394;"";1;1;"1";"1004"
395;"";1;4;"1";"543"
396;"";1;4;"1";"991"
397;"";2;7;"2";"730"
398;"";2;1;"2";"1000"
399;"";1;2;"1";"964"
400;"";1;2;"1";"980"
401;"";1;8;"1";"1035"
402;"";2;4;"2";"822"
403;"";2;6;"2";"606"
404;"";1;8;"1";"836"
405;"";1;4;"1";"929"
406;"";1;3;"1";"967"
407;"";2;6;"2";"860"
408;"";1;3;"1";"615"
409;"";2;7;"2";"907"
410;"";2;5;"2";"693"
411;"";2;3;"2";"808"
412;"";1;7;"1";"799"
413;"";1;5;"1";"784"
414;"";1;5;"1";"692"
415;"";1;8;"1";"771"
416;"";1;5;"1";"529"
417;"";1;6;"1";"570"
418;"";1;6;"1";"694"
419;"";2;7;"2";"891"
420;"";1;8;"1";"804"
421;"";1;1;"1";"776"
422;"";2;8;"2";"1042"
423;"";2;6;"2";"806"
424;"";1;4;"1";"1012"
425;"";2;4;"2";"839"
426;"";2;3;"2";"884"
427;"";2;3;"2";"799"
428;"";2;4;"2";"621"
429;"";1;5;"1";"1037"
430;"";2;5;"2";"1027"
431;"";1;4;"1";"606"
432;"";2;6;"2";"860"
433;"";2;4;"2";"529"
434;"";1;8;"1";"833"
435;"";2;1;"2";"872"
436;"";1;3;"1";"751"
437;"";2;3;"2";"506"
438;"";2;8;"2";"711"
439;"";2;3;"2";"526"
440;"";2;3;"2";"693"
441;"";1;5;"1";"713"
442;"";2;3;"2";"974"
443;"";1;6;"1";"900"
444;"";1;5;"1";"628"
445;"";2;5;"2";"983"
446;"";2;5;"2";"698"
447;"";1;6;"1";"769"
448;"";1;3;"1";"789"
449;"";2;6;"2";"755"
450;"";1;3;"1";"936"
451;"";1;4;"1";"982"
452;"";1;1;"1";"997"
453;"";2;1;"2";"888"
454;"";1;4;"1";"560"
455;"";2;3;"2";"677"
456;"";2;2;"2";"622"
457;"";1;2;"1";"904"
458;"";1;5;"1";"567"
459;"";1;7;"1";"790"
460;"";1;6;"1";"968"
461;"";2;4;"2";"724"
462;"";1;7;"1";"938"
463;"";1;8;"1";"940"
464;"";1;4;"1";"929"
465;"";2;1;"2";"728"
466;"";2;4;"2";"918"
467;"";2;3;"2";"748"
468;"";2;7;"2";"868"
469;"";2;4;"2";"1011"
470;"";2;6;"2";"759"
471;"";2;3;"2";"521"
472;"";1;4;"1";"640"
473;"";2;8;"2";"989"
474;"";2;2;"2";"861"
475;"";1;8;"1";"555"
476;"";1;1;"1";"912"
477;"";1;3;"1";"667"
478;"";2;5;"2";"950"
479;"";2;7;"2";"789"
480;"";2;7;"2";"982"
481;"";1;5;"1";"862"
482;"";1;5;"1";"1014"
483;"";1;8;"1";"820"
484;"";1;1;"1";"857"
485;"";1;6;"1";"990"
486;"";2;7;"2";"673"
487;"";1;5;"1";"827"
488;"";2;7;"2";"885"
489;"";1;3;"1";"784"
490;"";1;8;"1";"708"
491;"";1;2;"1";"986"
492;"";1;6;"1";"534"
493;"";1;5;"1";"836"
494;"";2;8;"2";"736"
495;"";2;2;"2";"1015"
496;"";1;5;"1";"875"
497;"";2;2;"2";"742"
498;"";2;4;"2";"671"
499;"";2;5;"2";"973"
500;"";1;8;"1";"677"
501;"";1;8;"1";"623"
502;"";1;7;"1";"594"
503;"";2;7;"2";"603"
504;"";1;7;"1";"791"
505;"";2;1;"2";"521"
506;"";1;5;"1";"986"
507;"";1;2;"1";"769"
508;"";2;8;"2";"710"
509;"";2;5;"2";"722"
510;"";2;4;"2";"847"
511;"";1;8;"1";"906"
512;"";2;2;"2";"688"
513;"";1;4;"1";"602"
514;"";2;1;"2";"871"
515;"";2;7;"2";"614"
516;"";2;2;"2";"784"
517;"";2;1;"2";"714"
518;"";2;5;"2";"916"
519;"";2;7;"2";"608"
520;"";2;1;"2";"652"
521;"";1;4;"1";"925"
522;"";1;5;"1";"727"
523;"";2;1;"2";"1028"
524;"";2;4;"2";"766"
525;"";1;5;"1";"577"
526;"";1;1;"1";"558"
527;"";1;4;"1";"826"
528;"";2;7;"2";"742"
529;"";2;4;"2";"988"
530;"";1;7;"1";"805"
531;"";1;4;"1";"1041"
532;"";2;6;"2";"607"
533;"";2;7;"2";"983"
534;"";1;3;"1";"967"
535;"";1;1;"1";"851"
536;"";1;3;"1";"814"
537;"";2;5;"2";"778"
538;"";1;5;"1";"871"
539;"";2;5;"2";"696"
540;"";2;6;"2";"957"
